abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,classfication,japanese_name,name,pokedex_number,base_total,hp,attack,defense,special_attack,special_defense,speed,type1,type2
"['Flame Body', 'Vital Spirit']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Live Coal Pokémon,Bubyブビィ,Magby,240,365,45,75,37,70,55,83,fire,
"['Thick Fat', 'Scrappy', 'Sap Sipper']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Milk Cow Pokémon,Miltankミルタンク,Miltank,241,490,95,80,105,40,70,100,normal,
"['Natural Cure', 'Serene Grace', 'Healer']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Happiness Pokémon,Happinasハピナス,Blissey,242,540,255,10,10,75,135,55,normal,
"['Pressure', 'Inner Focus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,Thunder Pokémon,Raikouライコウ,Raikou,243,580,90,85,75,115,100,115,electric,
"['Pressure', 'Inner Focus']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Volcano Pokémon,Enteiエンテイ,Entei,244,580,115,115,85,90,75,100,fire,
"['Pressure', 'Inner Focus']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Aurora Pokémon,Suicuneスイクン,Suicune,245,580,100,75,115,90,115,85,water,
"['Guts', 'Sand Veil']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,Rock Skin Pokémon,Yogirasヨーギラス,Larvitar,246,300,50,64,50,45,50,41,rock,ground
['Shed Skin'],1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,Hard Shell Pokémon,Sanagirasサナギラス,Pupitar,247,410,70,84,70,65,70,51,rock,ground
"['Sand Stream', 'Unnerve']",2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,Armor Pokémon,Bangirasバンギラス,Tyranitar,248,700,100,164,150,95,120,71,rock,dark
"['Pressure', 'Multiscale']",1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,Diving Pokémon,Lugiaルギア,Lugia,249,680,106,90,130,90,154,110,psychic,flying
"['Pressure', 'Regenerator']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,Rainbow Pokémon,Hououホウオウ,Ho-Oh,250,680,106,130,90,110,154,90,fire,flying
['Natural Cure'],4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,Time Travel Pokémon,Celebiセレビィ,Celebi,251,600,100,100,100,100,100,100,psychic,grass
"['Overgrow', 'Unburden']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,Wood Gecko Pokémon,Kimoriキモリ,Treecko,252,310,40,45,35,65,55,70,grass,
"['Overgrow', 'Unburden']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,Wood Gecko Pokémon,Juptileジュプトル,Grovyle,253,405,50,65,45,85,65,95,grass,
"['Overgrow', 'Unburden']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,Forest Pokémon,Jukainジュカイン,Sceptile,254,630,70,110,75,145,85,145,grass,
"['Blaze', 'Speed Boost']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Chick Pokémon,Achamoアチャモ,Torchic,255,310,45,60,40,70,50,45,fire,
"['Blaze', 'Speed Boost']",0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,Young Fowl Pokémon,Wakasyamoワカシャモ,Combusken,256,405,60,85,60,85,60,55,fire,fighting
"['Blaze', 'Speed Boost']",0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,Blaze Pokémon,Bursyamoバシャーモ,Blaziken,257,630,80,160,80,130,80,100,fire,fighting
"['Torrent', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Mud Fish Pokémon,Mizugorouミズゴロウ,Mudkip,258,310,50,70,50,50,50,40,water,
"['Torrent', 'Damp']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,Mud Fish Pokémon,Numacrawヌマクロー,Marshtomp,259,405,70,85,70,60,70,50,water,ground
"['Torrent', 'Damp']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,Mud Fish Pokémon,Laglargeラグラージ,Swampert,260,635,100,150,110,95,110,70,water,ground
"['Run Away', 'Quick Feet', 'Rattled']",2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,Bite Pokémon,Pochienaポチエナ,Poochyena,261,220,35,55,35,30,30,35,dark,
"['Intimidate', 'Quick Feet', 'Moxie']",2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,Bite Pokémon,Graenaグラエナ,Mightyena,262,420,70,90,70,60,60,70,dark,
"['Pickup', 'Gluttony', 'Quick Feet']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Tiny Racoon Pokémon,Jiguzagumaジグザグマ,Zigzagoon,263,240,38,30,41,30,41,60,normal,
"['Pickup', 'Gluttony', 'Quick Feet']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Rush Pokémon,Massugumaマッスグマ,Linoone,264,420,78,70,61,50,61,100,normal,
"['Shield Dust', 'Run Away']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,Worm Pokémon,Kemussoケムッソ,Wurmple,265,195,45,45,35,20,30,20,bug,
['Shed Skin'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,Cocoon Pokémon,Karasalisカラサリス,Silcoon,266,205,50,35,55,25,25,15,bug,
"['Swarm', 'Rivalry']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,Butterfly Pokémon,Agehuntアゲハント,Beautifly,267,395,60,70,50,100,50,65,bug,flying
['Shed Skin'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,Cocoon Pokémon,Mayuldマユルド,Cascoon,268,205,50,35,55,25,25,15,bug,
"['Shield Dust', 'Compoundeyes']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,Poison Moth Pokémon,Dokucaleドクケイル,Dustox,269,385,60,50,70,50,90,65,bug,poison
"['Swift Swim', 'Rain Dish', 'Own Tempo']",2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,Water Weed Pokémon,Hassbohハスボー,Lotad,270,220,40,30,30,40,50,30,water,grass
"['Swift Swim', 'Rain Dish', 'Own Tempo']",2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,Jolly Pokémon,Hasubreroハスブレロ,Lombre,271,340,60,50,50,60,70,50,water,grass
"['Swift Swim', 'Rain Dish', 'Own Tempo']",2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,Carefree Pokémon,Runpappaルンパッパ,Ludicolo,272,480,80,70,70,90,100,70,water,grass
"['Chlorophyll', 'Early Bird', 'Pickpocket']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,Acorn Pokémon,Tanebohタネボー,Seedot,273,220,40,40,50,30,30,30,grass,
"['Chlorophyll', 'Early Bird', 'Pickpocket']",4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,Wily Pokémon,Konohanaコノハナ,Nuzleaf,274,340,70,70,40,60,40,60,grass,dark
"['Chlorophyll', 'Early Bird', 'Pickpocket']",4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,Wickid Pokémon,Dirtengダーテング,Shiftry,275,480,90,100,60,90,60,80,grass,dark
"['Guts', 'Scrappy']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,TinySwallow Pokémon,Subameスバメ,Taillow,276,270,40,55,30,30,30,85,normal,flying
"['Guts', 'Scrappy']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,Swallow Pokémon,Ohsubameオオスバメ,Swellow,277,455,60,85,60,75,50,125,normal,flying
"['Keen Eye', 'Hydration', 'Rain Dish']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,Seagull Pokémon,Camomeキャモメ,Wingull,278,270,40,30,30,55,30,85,water,flying
"['Keen Eye', 'Drizzle', 'Rain Dish']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,Water Bird Pokémon,Pelipperペリッパー,Pelipper,279,440,60,50,100,95,70,65,water,flying
"['Synchronize', 'Trace', 'Telepathy']",1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,Feeling Pokémon,Raltsラルトス,Ralts,280,198,28,25,25,45,35,40,psychic,fairy
"['Synchronize', 'Trace', 'Telepathy']",1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,Emotion Pokémon,Kirliaキルリア,Kirlia,281,278,38,35,35,65,55,50,psychic,fairy
"['Synchronize', 'Trace', 'Telepathy']",1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,Embrace Pokémon,Sirnightサーナイト,Gardevoir,282,618,68,85,65,165,135,100,psychic,fairy
"['Swift Swim', 'Rain Dish']",1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5,Pond Skater Pokémon,Ametamaアメタマ,Surskit,283,269,40,30,32,50,52,65,bug,water
"['Intimidate', 'Unnerve']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,Eyeball Pokémon,Amemothアメモース,Masquerain,284,454,70,60,62,100,82,80,bug,flying
"['Effect Spore', 'Poison Heal', 'Quick Feet']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,Mushroom Pokémon,Kinococoキノココ,Shroomish,285,295,60,40,60,40,60,35,grass,
"['Effect Spore', 'Poison Heal', 'Technician']",1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5,Mushroom Pokémon,Kinogassaキノガッサ,Breloom,286,460,60,130,80,60,60,70,grass,fighting
['Truant'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Slacker Pokémon,Namakeroナマケロ,Slakoth,287,280,60,60,60,35,35,30,normal,
['Vital Spirit'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Wild Monkey Pokémon,Yarukimonoヤルキモノ,Vigoroth,288,440,80,80,80,55,55,90,normal,
['Truant'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Lazy Pokémon,Kekkingケッキング,Slaking,289,670,150,160,100,95,65,100,normal,
"['Compoundeyes', 'Run Away']",1,1,1,0,1,0.5,2,2,1,1,0.5,2,1,0.5,1,1,1,2,Trainee Pokémon,Tutininツチニン,Nincada,290,266,31,45,90,30,30,40,bug,ground
"['Speed Boost', 'Infiltrator']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,Ninja Pokémon,Tekkaninテッカニン,Ninjask,291,456,61,90,45,50,50,160,bug,flying
['Wonder Guard'],0.5,2,1,1,1,0,2,2,2,0.5,0.5,1,0,0.5,1,2,1,1,Shed Pokémon,Nukeninヌケニン,Shedinja,292,236,1,90,45,30,30,40,bug,ghost
"['Soundproof', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Whisper Pokémon,Gonyonyoゴニョニョ,Whismur,293,240,64,51,23,51,23,28,normal,
"['Soundproof', 'Scrappy']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Big Voice Pokémon,Dogohmbドゴーム,Loudred,294,360,84,71,43,71,43,48,normal,
"['Soundproof', 'Scrappy']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Loud Noise Pokémon,Bakuongバクオング,Exploud,295,490,104,91,63,91,73,68,normal,
"['Thick Fat', 'Guts', 'Sheer Force']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,Guts Pokémon,Makunoshitaマクノシタ,Makuhita,296,237,72,60,30,20,30,25,fighting,
"['Thick Fat', 'Guts', 'Sheer Force']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,Arm Thrust Pokémon,Hariteyamaハリテヤマ,Hariyama,297,474,144,120,60,40,60,50,fighting,
"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,Polka Dot Pokémon,Ruririルリリ,Azurill,298,190,50,20,40,20,40,20,normal,fairy
"['Sturdy', 'Magnet Pull', 'Sand Force']",1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,Compass Pokémon,Nosepassノズパス,Nosepass,299,375,30,45,135,45,90,30,rock,
"['Cute Charm', 'Normalize', 'Wonder Skin ']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Kitten Pokémon,Enecoエネコ,Skitty,300,260,50,45,45,35,35,50,normal,
"['Cute Charm', 'Normalize', 'Wonder Skin ']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Prim Pokémon,Enekororoエネコロロ,Delcatty,301,400,70,65,65,55,55,90,normal,
"['Keen Eye', 'Stall', 'Prankster']",1,1,1,1,2,0,1,1,1,1,1,1,0,0.5,0,1,1,1,Darkness Pokémon,Yamiramiヤミラミ,Sableye,302,480,50,85,125,85,115,20,dark,ghost
"['Hyper Cutter', 'Intimidate', 'Sheer Force']",0.25,0.5,0,1,0.5,1,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,1,1,Deceiver Pokémon,Kucheatクチート,Mawile,303,480,50,105,125,55,95,50,steel,fairy
"['Sturdy', 'Rock Head', 'Heavy Metal']",0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,Iron Armor Pokémon,Cokodoraココドラ,Aron,304,330,50,70,100,40,40,30,steel,rock
"['Sturdy', 'Rock Head', 'Heavy Metal']",0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,Iron Armor Pokémon,Kodoraコドラ,Lairon,305,430,60,90,140,50,50,40,steel,rock
"['Sturdy', 'Rock Head', 'Heavy Metal']",0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,Iron Armor Pokémon,Bossgodoraボスゴドラ,Aggron,306,630,70,140,230,60,80,50,steel,rock
"['Pure Power', 'Telepathy']",1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,Meditate Pokémon,Asananアサナン,Meditite,307,280,30,40,55,40,55,60,fighting,psychic
"['Pure Power', 'Telepathy']",1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,Meditate Pokémon,Charemチャーレム,Medicham,308,510,60,100,85,80,85,100,fighting,psychic
"['Static', 'Lightningrod', 'Minus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,Lightning Pokémon,Rakuraiラクライ,Electrike,309,295,40,45,40,65,40,65,electric,
"['Static', 'Lightningrod', 'Minus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,Discharge Pokémon,Livoltライボルト,Manectric,310,575,70,75,80,135,80,135,electric,
"['Plus', 'Lightningrod']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,Cheering Pokémon,Prasleプラスル,Plusle,311,405,60,50,40,85,75,95,electric,
"['Minus', 'Volt Absorb']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,Cheering Pokémon,Minunマイナン,Minun,312,405,60,40,50,75,85,95,electric,
"['Illuminate', 'Swarm', 'Prankster']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,Firefly Pokémon,Barubeatバルビート,Volbeat,313,430,65,73,75,47,85,85,bug,
"['Oblivious', 'Tinted Lens', 'Prankster']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,Firefly Pokémon,Illumiseイルミーゼ,Illumise,314,430,65,47,75,73,85,85,bug,
"['Natural Cure', 'Poison Point', 'Leaf Guard']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,Thorn Pokémon,Roseliaロゼリア,Roselia,315,400,50,60,45,100,80,65,grass,poison
"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,Stomach Pokémon,Gokulinゴクリン,Gulpin,316,302,70,43,53,43,53,40,poison,
"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,Poison Bag Pokémon,Marunoomマルノーム,Swalot,317,467,100,73,83,73,83,55,poison,
"['Rough Skin', 'Speed Boost']",2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,Savage Pokémon,Kibanhaキバニア,Carvanha,318,305,45,90,20,65,20,65,water,dark
"['Rough Skin', 'Speed Boost']",2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,Brutal Pokémon,Samehaderサメハダー,Sharpedo,319,560,70,140,70,110,65,105,water,dark
"['Water Veil', 'Oblivious', 'Pressure']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Ball Whale Pokémon,Hoerukoホエルコ,Wailmer,320,400,130,70,35,70,35,60,water,
"['Water Veil', 'Oblivious', 'Pressure']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Float Whale Pokémon,Whalohホエルオー,Wailord,321,500,170,90,45,90,45,60,water,
"['Oblivious', 'Simple', 'Own Tempo']",0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4,Numb Pokémon,Donmelドンメル,Numel,322,305,60,60,40,65,45,35,fire,ground
"['Magma Armor', 'Solid Rock', 'Anger Point']",0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4,Eruption Pokémon,Bakuudaバクーダ,Camerupt,323,560,70,120,100,145,105,20,fire,ground
"['White Smoke', 'Drought', 'Shell Armor']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Coal Pokémon,Cotoiseコータス,Torkoal,324,470,70,85,140,85,70,20,fire,
"['Thick Fat', 'Own Tempo', 'Gluttony']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,Bounce Pokémon,Banebooバネブー,Spoink,325,330,60,25,35,70,80,60,psychic,
"['Thick Fat', 'Own Tempo', 'Gluttony']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,Manipulate Pokémon,Boopigブーピッグ,Grumpig,326,470,80,45,65,90,110,80,psychic,
"['Own Tempo', 'Tangled Feet', 'Contrary']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Spot Panda Pokémon,Patcheelパッチール,Spinda,327,360,60,60,60,60,60,60,normal,
"['Hyper Cutter', 'Arena Trap', 'Sheer Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,Ant Pit Pokémon,Nuckrarナックラー,Trapinch,328,290,45,100,45,45,45,10,ground,
['Levitate'],1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1,Vibration Pokémon,Vibravaビブラーバ,Vibrava,329,340,50,70,50,50,50,70,ground,dragon
['Levitate'],1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1,Mystic Pokémon,Flygonフライゴン,Flygon,330,520,80,100,80,80,80,100,ground,dragon
"['Sand Veil', 'Water Absorb']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,Cactus Pokémon,Saboneaサボネア,Cacnea,331,335,50,85,40,85,40,35,grass,
"['Sand Veil', 'Water Absorb']",4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,Scarecrow Pokémon,Noctusノクタス,Cacturne,332,475,70,115,60,115,60,55,grass,dark
"['Natural Cure', 'Cloud Nine']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,Cotton Bird Pokémon,Tylttoチルット,Swablu,333,310,45,40,60,40,75,50,normal,flying
"['Natural Cure', 'Cloud Nine']",0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,Humming Pokémon,Tyltalisチルタリス,Altaria,334,590,75,110,110,110,105,80,dragon,flying
"['Immunity', 'Toxic Boost']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Cat Ferret Pokémon,Zangooseザングース,Zangoose,335,458,73,115,60,60,60,90,normal,
"['Shed Skin', 'Infiltrator']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,Fang Snake Pokémon,Habunakeハブネーク,Seviper,336,458,73,100,60,100,60,65,poison,
['Levitate'],2,2,1,1,1,1,0.5,0.5,2,2,2,1,0.5,0.5,0.5,1,2,2,Meteorite Pokémon,Lunatoneルナトーン,Lunatone,337,460,90,55,65,95,85,70,rock,psychic
['Levitate'],2,2,1,1,1,1,0.5,0.5,2,2,2,1,0.5,0.5,0.5,1,2,2,Meteorite Pokémon,Solrockソルロック,Solrock,338,460,90,95,85,55,65,70,rock,psychic
"['Oblivious', 'Anticipation', 'Hydration']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,Whiskers Pokémon,Dojoachドジョッチ,Barboach,339,288,50,48,43,46,41,60,water,ground
"['Oblivious', 'Anticipation', 'Hydration']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,Whiskers Pokémon,Namazunナマズン,Whiscash,340,468,110,78,73,76,71,60,water,ground
"['Hyper Cutter', 'Shell Armor', 'Adaptability']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Ruffian Pokémon,Heiganiヘイガニ,Corphish,341,308,43,80,65,50,35,35,water,
"['Hyper Cutter', 'Shell Armor', 'Adaptability']",2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,Rogue Pokémon,Shizarigerシザリガー,Crawdaunt,342,468,63,120,85,90,55,55,water,dark
['Levitate'],2,2,1,0,1,0.5,1,1,2,2,1,2,1,0.5,0.5,0.5,1,2,Clay Doll Pokémon,Yajilonヤジロン,Baltoy,343,300,40,40,55,40,70,55,ground,psychic
['Levitate'],2,2,1,0,1,0.5,1,1,2,2,1,2,1,0.5,0.5,0.5,1,2,Clay Doll Pokémon,Nendollネンドール,Claydol,344,500,60,70,105,70,120,75,ground,psychic
"['Suction Cups', 'Storm Drain']",2,1,1,0.5,1,2,1,1,1,1,1,2,0.5,1,1,1,2,1,Sea Lily Pokémon,Lilylaリリーラ,Lileep,345,355,66,41,77,61,87,23,rock,grass
"['Suction Cups', 'Storm Drain']",2,1,1,0.5,1,2,1,1,1,1,1,2,0.5,1,1,1,2,1,Barnacle Pokémon,Yuradleユレイドル,Cradily,346,495,86,81,97,81,107,43,rock,grass
"['Battle Armor', 'Swift Swim']",1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,Old Shrimp Pokémon,Anopthアノプス,Anorith,347,355,45,95,50,40,50,75,rock,bug
"['Battle Armor', 'Swift Swim']",1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,Plate Pokémon,Armaldoアーマルド,Armaldo,348,495,75,125,100,70,80,45,rock,bug
"['Swift Swim', 'Oblivious', 'Adaptability']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Fish Pokémon,Hinbassヒンバス,Feebas,349,200,20,15,20,10,55,80,water,
"['Marvel Scale', 'Competitive', 'Cute Charm']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Tender Pokémon,Milokarossミロカロス,Milotic,350,540,95,60,79,100,125,81,water,
['Forecast'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Weather Pokémon,Powalenポワルン,Castform,351,420,70,70,70,70,70,70,normal,
"['Color Change', 'Protean']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Color Swap Pokémon,Kakureonカクレオン,Kecleon,352,440,60,90,70,60,120,40,normal,
"['Insomnia', 'Frisk', 'Cursed Body']",0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,Puppet Pokémon,Kagebouzuカゲボウズ,Shuppet,353,295,44,75,35,63,33,45,ghost,
"['Insomnia', 'Frisk', 'Cursed Body']",0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,Marionette Pokémon,Juppetaジュペッタ,Banette,354,555,64,165,75,93,83,75,ghost,
"['Levitate', 'Frisk']",0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,Requiem Pokémon,Yomawaruヨマワル,Duskull,355,295,20,40,90,30,90,25,ghost,
"['Pressure', 'Frisk']",0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,Beckon Pokémon,Samayouruサマヨール,Dusclops,356,455,40,70,130,60,130,25,ghost,
"['Chlorophyll', 'Solar Power', 'Harvest']",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,Fruit Pokémon,Tropiusトロピウス,Tropius,357,460,99,68,83,72,87,51,grass,flying
['Levitate'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,Wind Chime Pokémon,Chireanチリーン,Chimecho,358,455,75,50,80,95,90,65,psychic,
"['Pressure', 'Super Luck', 'Justified']",2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,Disaster Pokémon,Absolアブソル,Absol,359,565,65,150,60,115,60,115,dark,
"['Shadow Tag', 'Telepathy']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,Bright Pokémon,Sohnanoソーナノ,Wynaut,360,260,95,23,48,23,48,23,psychic,
"['Inner Focus', 'Ice Body', 'Moody']",1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,Snow Hat Pokémon,Yukiwarashiユキワラシ,Snorunt,361,300,50,50,50,50,50,50,ice,
"['Inner Focus', 'Ice Body', 'Moody']",1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,Face Pokémon,Onigohriオニゴーリ,Glalie,362,580,80,120,80,120,80,100,ice,
"['Thick Fat', 'Ice Body', 'Oblivious']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,Clap Pokémon,Tamazarashiタマザラシ,Spheal,363,290,70,40,50,55,50,25,ice,water
